year,month,start,end of period,sales,value (E),unsoldes (Kg)
2003,1,01-01-03,31-01-03,392 260,901 628,1 140
2003,2,01-02-03,28-02-03,407 248,982 281,7 909
2003,3,01-03-03,31-03-03,481 205,1123 172,4 656
2003,4,01-04-03,30-04-03,496 741,966 402,4 618
2003,5,01-05-03,31-05-03,278 417,615 578,3 919
2003,6,01-06-03,30-06-03,216 089,473 257,33 737
2003,7,01-07-03,31-07-03,281 065,497 998,20 431
2003,8,01-08-03,31-08-03,235 963,554 060,20 897
2003,9,01-09-03,30-09-03,260 573,546 595,3 676
2003,10,01-10-03,31-10-03,329 217,883 822,9 831
2003,11,01-11-03,30-11-03,443 049,1153 041,28 160
2003,12,01-12-03,31-12-03,319 818,1011 751,9 349
2004,1,01-01-04,31-01-04,338 283,953 294,1 126
2004,2,01-02-04,29-02-04,369 367,967 668,3 897
2004,3,01-03-04,31-03-04,497 947,1328 866,611
2004,4,01-04-04,30-04-04,398 104,991 236,2 183
2004,5,01-05-04,31-05-04,173 951,442 645,661
2004,6,01-06-04,30-06-04,219 877,474 663,5 005
2004,7,01-07-04,31-07-04,255 339,534 226,9 054
2004,8,01-08-04,31-08-04,216 687,507 141,13 697
2004,9,01-09-04,30-09-04,286 136,574 095,3 225
2004,10,01-10-04,31-10-04,427 664,972 208,10 283
2004,11,01-11-04,30-11-04,654 505,998 009,12 568
2004,12,01-12-04,31-12-04,414 972,1058 845,26 426
2005,1,01-01-05,31-01-05,433 833,952 277,-9 053
2005,2,01-02-05,28-02-05,391 276,804 959,18 461
2005,3,01-03-05,31-03-05,387 517,876 426,4 374
2005,4,01-04-05,30-04-05,330 683,742 418,12 203
2005,5,01-05-05,31-05-05,222 823,415 325,-16 188
2005,6,01-06-05,30-06-05,262 739,417 573,14 930
2005,7,01-07-05,31-07-05,181 373,371 428,11 057
2005,8,01-08-05,31-08-05,237 759,431 476,11 834
2005,9,01-09-05,30-09-05,232 325,489 235,8 266
2005,10,01-10-05,31-10-05,423 419,896 236,12 411
2005,11,01-11-05,30-11-05,628 398,1005 156,7 769
2005,12,01-12-05,31-12-05,342 584,912 698,5 104
2006,1,01-01-06,31-01-06,353 544,699 575,27 092
2006,2,01-02-06,28-02-06,259 242,553 309,3 735
2006,3,01-03-06,31-03-06,310 683,759 781,434
2006,4,01-04-06,30-04-06,339 064,797 321,3 068
2006,5,01-05-06,31-05-06,240 004,430 508,5 461
2006,6,01-06-06,30-06-06,255 162,425 585,3 816
2006,7,01-07-06,31-07-06,140 181,326 902,7 839
2006,8,01-08-06,31-08-06,193 922,458 606,2 932
2006,9,01-09-06,30-09-06,205 328,481 425,660
2006,10,01-10-06,31-10-06,396 005,966 416,22 688
2006,11,01-11-06,30-11-06,535 589,956 121,-10 128
2006,12,01-12-06,31-12-06,460 154,1491 733,2 268
2007,1,01-01-07,31-01-07,312 348,896 532,1 629
2007,2,01-02-07,28-02-07,380 481,998 962,11 373
2007,3,01-03-07,31-03-07,413 844,1173 088,1 939
2007,4,01-04-07,30-04-07,349 161,920 561,10 850
2007,5,01-05-07,31-05-07,164 534,344 829,2 037
2007,6,01-06-07,30-06-07,157 299,344 796,2 792
2007,7,01-07-07,31-07-07,165 784,363 856,1 392
2007,8,01-08-07,31-08-07,211 268,474 161,5 772
2007,9,01-09-07,30-09-07,161 161,362 911,1 105
2007,10,01-10-07,31-10-07,464 969,1112 872,79 365
2007,11,01-11-07,30-11-07,434 879,905 791,21 484
2007,12,01-12-07,31-12-07,252 738,806 571,2 831
2008,1,01-01-08,31-01-08,223 136,633 101,117
2008,2,01-02-08,29-02-08,280 111,718 993,4 741
2008,3,01-03-08,31-03-08,238 223,602 490,455
2008,4,01-04-08,30-04-08,294 239,704 617,59 878
2008,5,01-05-08,31-05-08,72 563,162 701,85 473
2008,6,01-06-08,30-06-08,56 883,117 251,1 108
2008,7,01-07-08,31-07-08,77 443,189 262,1 498
2008,8,01-08-08,31-08-08,91 131,155 129,2 455
2008,9,01-09-08,30-09-08,108 056,226 217,1 606
2008,10,01-10-08,31-10-08,252 449,612 712,916
2008,11,01-11-08,30-11-08,207 812,527 108,1 509
2008,12,01-12-08,31-12-08,291 866,903 103,7 439
2009,1,01-01-09,31-01-09,296 374,655 551,36 257
2009,2,01-02-09,28-02-09,245 169,499 539,15 701
2009,3,01-03-09,31-03-09,228 386,582 811,5 620
2009,4,01-04-09,30-04-09,227 667,489 350,12 338
2009,5,01-05-09,31-05-09,107 173,194 828,3 145
2009,6,01-06-09,30-06-09,75 175,141 287,1 845
2009,7,01-07-09,31-07-09,93 411,145 996,4 875
2009,8,01-08-09,31-08-09,153 268,250 330,20 747
2009,9,01-09-09,30-09-09,148 794,273 427,10 093
2009,10,01-10-09,31-10-09,264 179,532 819,20 331
2009,11,01-11-09,30-11-09,170 383,396 651,6 292
2009,12,01-12-09,31-12-09,294 862,849 834,22 171
2010,1,01-01-10,31-01-10,301 000,596 582,21 758
2010,2,01-02-10,28-02-10,245 986,525 469,5 733
2010,3,01-03-10,31-03-10,289 685,742 986,14 748
2010,4,01-04-10,30-04-10,235 757,671 934,22 147
2010,5,01-05-10,31-05-10,250 308,776 903,-8 272
2010,6,01-06-10,30-06-10,176 644,619 345,2 896
2010,7,01-07-10,31-07-10,110 687,341 696,3 325
2010,8,01-08-10,31-08-10,157 165,405 877,2 104
2010,9,01-09-10,30-09-10,154 399,392 383,318
2010,10,01-10-10,31-10-10,326 276,801 837,5 801
2010,11,01-11-10,30-11-10,354 238,969 931,5 633
2010,12,01-12-10,31-12-10,310 187,1012 431,13 944
2011,1,01-01-11,31-01-11,330 653,896 461,705
2011,2,01-02-11,28-02-11,389 569,963 762,640
2011,3,01-03-11,31-03-11,394 906,1031 051,956
2011,4,01-04-11,30-04-11,336 644,882 258,5 819
2011,5,01-05-11,31-05-11,302 163,795 750,3 801
2011,6,01-06-11,30-06-11,158 360,492 005,2 552
2011,7,01-07-11,31-07-11,84 774,315 547,299
2011,8,01-08-11,31-08-11,167 927,394 621,3 888
2011,9,01-09-11,30-09-11,165 398,370 725,1 592
2011,10,01-10-11,31-10-11,312 513,759 962,217
2011,11,01-11-11,30-11-11,424 506,1167 721,387
2011,12,01-12-11,31-12-11,396 311,1443 240,6 240
2012,1,01-01-12,31-01-12,334 491,887 210,849
2012,2,01-02-12,29-02-12,338 294,929 997,1 380
2012,3,01-03-12,31-03-12,392 808,1089 613,1 205
2012,4,01-04-12,30-04-12,186 117,590 540,350
2012,5,01-05-12,31-05-12,236 414,700 891,2 796
2012,6,01-06-12,30-06-12,115 940,385 233,5 963
2012,7,01-07-12,31-07-12,115 339,286 638,4 202
2012,8,01-08-12,31-08-12,137 073,313 391,3 658
2012,9,01-09-12,30-09-12,150 614,308 947,3 174
2012,10,01-10-12,31-10-12,424 087,967 693,33 829
2012,11,01-11-12,30-11-12,308 766,853 574,5 519
2012,12,01-12-12,31-12-12,342 679,891 007,11 155
